Authors,title,file,type
"R. Borah, M. Puotinen & O. Price",Line Intersect Sampling Tool (LIST): A GIS-based tool for Spread Analysis,Borah_et_al.pdf,Posters
"Y. Choi, H. Yi & H. D. Park",Raster modeling of surface runoff accumulation by incorporating artificially constructed water handling structures,Choi_et_al.pdf,Posters
"Stesha A. Doku, Samsung Lim","Using GIS to Examine the Health Status of Immigrant and Indigenous Groups in New South Wales, Australia",Doku_and_Lim.pdf,Posters
Wenxiu GAO & Jianya Gong,Exploratory Construction of Generalisation Rules for Landuse Vector Data Generalisation,Gao_and_Gong.pdf,Posters
Y. Hanashima & K. Yamazaki,The Iterative Method in Multi-criteria Decision Analysis: A Case Study of Fuzzy GIS,Hanashima_and_Yamazaki.pdf,Posters
"Ricky Jacob, Jianghua Zheng, Adam C. Winstanley, B?azej Ciep?uch & Peter Mooney",A Multi-lingual pedestrian navigation and campus guidance system using CloudMade API,Jacob_et_al.pdf,Posters
"S. Kim, C. A. Arrowsmith & J. Handmer",Coastal vulnerability assessment with an indicator based approach,Kim_et_al.pdf,Posters
"B. Mitchell, D. Markovic, D. Rotheray, S. Measho & J. Barros",Dutch elm disease on the Isle of Man – Identifying ‘danger-spots’ using an agent-based model,Mitchell_et_al.pdf,Posters
M. Salah & J. C. Trinder,Fuzzy ARTMAP Neural Networks for Automatic Feature Extraction from Aerial Images and Lidar Data,Salah_and_Trinder.pdf,Posters
Rajesh Bahadur Thapa & Yuji Murayama,Land Use Change Factors in Kathmandu Valley: A GWR Approach,Thapa_and_Murayama.pdf,Posters
Yunhui Wu & Stephan Winter,Inferring Relevant Gazetteer Instances to a Placename,Wu_and_Winter.pdf,Posters
"Wenjie Wu, Zhengbin Dong, Wenzhong Zhang, Fengjun Jin and Xiujun Ma",Spatio-Temporal Structural Analysis of Inter-Urban Aviation Network in China,Wu_et_al.pdf,Posters
"Xin Zhang, K. Tocque, J. Boothby & P. Cook",Exploration of Relationship between Social Status and Mortality Rates in England,Xin_et_al.pdf,Posters
